0.02	3.14
0.06	3.26
0.08	3.28
0.1	3.41
0.12	3.03
0.16	3.43
0.18	3.33
0.2	3.2
0.22	3.23
0.26	3.26
0.28	3.39
0.3	2.91
0.32	3.28
0.36	3.01
0.38	2.9
0.4	3.06
0.42	2.8
0.46	3.05
0.48	3.16
0.5	3.22
0.52	3.27
0.56	3.48
0.58	3.59
0.6	3.48
0.62	3.41
0.66	3.31
0.68	3.66
0.7	3.6
0.72	3.55
0.76	3.76
0.78	3.66
0.8	3.8
0.82	3.67
0.86	4.06
0.88	4.02
0.9	4.02
0.92	4.09
0.96	4.1
0.98	4.17
1	4.21
1.02	4.21
1.06	4.15
1.08	4.28
1.1	4.19
1.12	4.23
1.16	4.42
1.18	4.39
1.2	4.52
1.22	4.62
1.26	4.6
1.28	4.68
1.3	4.72
1.32	4.55
1.36	4.75
1.38	4.65
1.4	4.6
1.42	4.65
1.44	4.51
1.46	4.62
1.48	4.82
1.5	4.87
1.52	4.91
1.54	4.81
1.56	4.61
1.58	4.73
1.6	4.68
1.62	5.12
1.64	4.79
1.66	4.68
1.68	4.74
1.7	4.9
1.72	4.79
1.74	4.76
1.76	4.94
1.78	4.82
1.8	4.88
1.82	4.95
1.86	4.85
1.88	4.76
1.9	4.76
1.92	4.56
1.94	4.43
1.96	4.79
1.98	4.91
2	4.82
2.02	4.7
2.04	4.84
2.08	4.68
2.1	4.64
2.12	4.7
2.14	4.59
2.16	4.64
2.18	4.88
2.2	4.39
2.21	4.59
2.25	4.71
2.27	4.74
2.29	4.66
2.31	4.8
2.33	4.63
2.35	4.62
2.37	4.72
2.39	4.69
2.41	4.64
2.43	4.59
2.45	4.74
2.47	4.72
2.49	4.48
2.51	4.7
2.53	4.48
2.55	4.58
2.57	4.67
2.59	4.52
2.61	4.56
2.63	4.43
2.65	4.38
2.67	4.49
2.69	4.55
2.71	4.4
2.73	4.71
2.75	4.47
2.77	4.44
2.79	4.54
2.81	4.47
2.83	4.5
2.85	4.37
2.87	4.53
2.89	4.42
2.91	4.57
2.93	4.27
2.95	4.41
2.97	4.58
2.99	4.43
3.01	4.33
3.03	4.09
3.05	4.23
3.07	3.91
3.09	4.24
3.11	4.4
3.13	4.24
3.15	4.32
3.17	4.49
3.19	4.34
3.21	4.38
3.23	4.27
3.25	4.23
3.27	4.19
3.29	4.27
3.31	4.22
3.33	4.23
3.35	4.27
3.37	4.3
3.39	4.33
3.41	4.25
3.43	4.39
3.45	4.29
3.47	4.18
3.49	4.35
3.51	4.51
3.53	4.26
3.55	4.48
3.57	4.41
3.59	4.34
3.61	4.6
3.63	4.46
3.65	4.44
3.67	4.41
3.69	4.46
3.71	4.18
3.73	4.36
3.75	4.45
3.77	4.27
3.79	4.34
3.81	4.52
3.83	4.52
3.85	4.22
3.87	4.21
3.89	4.14
3.91	4.31
3.93	4.26
3.95	4.4
3.97	4.17
3.99	4.18
4.01	4.23
4.03	4.32
4.05	4.35
4.07	4.43
4.09	4.18
4.11	4.35
4.13	4.33
4.15	4.27
4.17	4.2
4.19	4.14
4.21	4.16
4.23	4.17
4.25	4.06
4.27	4.28
4.29	4.19
4.33	4.23
4.35	4.47
4.37	4.3
4.39	4.19
4.41	4.39
4.43	4.44
4.45	4.23
4.47	4.31
4.49	4.21
4.55	4.34
4.57	4.32
4.59	4.2
4.61	4.28
4.63	4.25
4.65	4.21
4.67	4.29
4.69	4.28
4.71	4.23
4.73	4.26
4.75	4.29
4.77	4.27
4.79	4.39
4.81	4.28
4.83	4.28
4.85	4.38
4.87	4.53
4.89	4.42
4.91	4.37
4.93	4.38
4.95	4.29
4.97	4.31
